id,number,type,status,propertyId,createdAt,area,baths,floor,rooms
191,407,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.521Z,,1,4,1
192,408,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.523Z,,1,4,1
193,501,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.524Z,,1,5,1
194,502,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.526Z,,1,5,1
195,503,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.527Z,,1,5,1
196,504,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.529Z,,1,5,1
197,505,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.531Z,,1,5,1
198,506,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.532Z,,1,5,1
199,507,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.533Z,,1,5,1
200,508,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.536Z,,1,5,1
201,601,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.537Z,,2,6,1
202,602,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.539Z,,2,6,1
203,1,YEARLY,OCCUPIED,3,2025-10-18T21:06:25.733Z,,1,0,1
204,2,YEARLY,OCCUPIED,3,2025-10-18T21:12:31.145Z,,1,0,1
205,3,YEARLY,OCCUPIED,3,2025-10-18T21:24:00.939Z,,1,0,1
206,4,YEARLY,OCCUPIED,3,2025-10-18T21:27:29.581Z,,1,0,1
207,5,YEARLY,OCCUPIED,3,2025-10-18T21:31:52.442Z,,1,0,1
209,7,YEARLY,OCCUPIED,3,2025-10-18T21:40:17.191Z,,1,0,1
210,مكتب 1,YEARLY,OCCUPIED,2,2025-10-18T22:31:37.578Z,,1,0,4
211,مكتب 2,YEARLY,OCCUPIED,2,2025-10-18T22:39:21.557Z,,1,0,3
212,مكتب 3,YEARLY,OCCUPIED,2,2025-10-18T22:39:23.444Z,,2,0,2
213,مكتب 8,YEARLY,OCCUPIED,2,2025-10-18T22:45:58.952Z,,1,1,1
214,مكتب 9,YEARLY,OCCUPIED,2,2025-10-18T22:54:44.160Z,,1,0,1
215,مكتب 10,YEARLY,OCCUPIED,2,2025-10-18T23:03:53.833Z,,1,0,1
216,مكتب 11,YEARLY,OCCUPIED,2,2025-10-19T07:46:27.113Z,,1,0,1
217,مكتب 12,YEARLY,OCCUPIED,2,2025-10-19T07:56:16.823Z,,1,0,1
